iata,land_code,stadt
TCQ,PE,Tacna
TFF,BR,Tefe
THE,BR,Teresina
TJA,BO,Tarija
TME,CO,Tame
TMT,BR,Trombetas
TPP,PE,Tarapoto
TRU,PE,Trujillo
TTG,AR,Tartagal
TUA,EC,Tulcan
TUC,AR,Tucuman
TUR,BR,Tucurui
TYL,PE,Talara
UAQ,AR,San Juan
UBA,BR,Uberaba
UDI,BR,Uberlandia
UIB,CO,Quibdo
UIO,EC,Quito
ULA,AR,San Julian
URG,BR,Uruguaiana
USH,AR,Ushuaia
VCP,BR,Sao Paulo
VDC,BR,Glauber Rocha,
VDM,AR,Viedma
VIG,VE,El Vigia
VIX,BR,Vitoria
VLN,VE,Valencia
VLV,VE,Valera
VUP,CO,Valledupar
VVC,CO,Villavicencio
VVI,BO,Santa Cruz
XAP,BR,Chapeco
XMS,EC,Macas
YMS,PE,Yurimaguas
ZAL,CL,Valdivia
ZCO,CL,Temuco
ZOS,CL,Osorno
AAL,DK,Aalborg
AAQ,RU,Anapa
AAR,DK,Aarhus
ABA,RU,Abakan
ABZ,GB,Aberdeen
ACH,CH,Altenrhein
ACI,GB,Alderney
AER,RU,Sotschi
AES,NO,Alesund
AEY,IS,Akureyri
AGF,FR,Agen
AGH,SE,Angelholm/Helsingborg
AGP,ES,Malaga
AHO,IT,Alghero
AJA,FR,Ajaccio
AJR,SE,Arvidsjaur
ALC,ES,Alicante
ALF,NO,Alta
AMS,NL,Amsterdam
ANE,FR,Angers
ANR,BE,Antwerpen
ANX,NO,Andenes
AOI,IT,Ancona
AOK,GR,Karpathos
ARH,RU,Archangelsk
ARN,SE,Stockholm
ARW,RO,Arad
ATH,GR,Athen
AUR,FR,Aurillac
AVN,FR,Avignon
AXD,GR,Alexandroupolis
BAY,RO,Baia Mare
BCM,RO,Bacau
BCN,ES,Barcelona
BDS,IT,Brindisi
BDU,NO,Bardufoss
BEB,GB,Benbecula
BEG,RS,Belgrad
BER,DE,Berlin
BES,FR,Brest
BFS,GB,Belfast
BGC,PT,Braganca
BGO,NO,Bergen
BGY,IT,Mailand
BHD,GB,Belfast
BHX,GB,Birmingham
BIA,FR,Bastia
BIO,ES,Bilbao
BIQ,FR,Biarritz
BJF,NO,Batsfjord
BJZ,ES,Badajoz
BLE,SE,Borlange/Falun
BLK,GB,Blackpool
BLL,DK,Billund
BLQ,IT,Bologna
BMA,SE,Stockholm
BNN,NO,Bronnoysund
BNX,BA,Banja Luka
BOD,FR,Bordeaux
BOH,GB,Bournemouth
BOJ,BG,Burgas
BOO,NO,Bodo
BQT,BY,Brest
BRE,DE,Bremen
BRI,IT,Bari
BRN,CH,Bern
BRQ,CZ,Brünn
BRR,GB,Barra
BRS,GB,Bristol
BRU,BE,Brüssel
BSL,CH,Basel/Mülhausen
BTS,SK,Bratislava
BUD,HU,Budapest
BVA,FR,Paris
BVE,FR,Brive-la-Gaillarde
BVG,NO,Berlevag
BWK,HR,Brac
BZG,PL,Bydgoszcz
BZK,RU,Brjansk
BZO,IT,Bozen/Bolzano
BZR,FR,Beziers
CAG,IT,Cagliari
CAL,GB,Campbeltown
CAT,PT,Cascais
CCF,FR,Carcassonne
CDG,FR,Paris
CDT,ES,Castellon de la Plana
CEE,RU,Tscherepowez
CEK,RU,Tscheljabinsk
CEQ,FR,Cannes
CER,FR,Cherbourg
CFE,FR,Clermont-Ferrand
CFN,IE,Donegal
CFR,FR,Caen
CFU,GR,Kerkyra
CGN,DE,Köln/Bonn
CHQ,GR,Chania
CIA,IT,Rom
CIY,IT,Comiso
CLJ,RO,Cluj-Napoca
CLY,FR,Calvi
CMF,FR,Chambery/Aix-les-Bains
CND,RO,Constanta
CNL,DK,Sindal
CPH,DK,Kopenhagen
CRA,RO,Craiova
CRL,BE,Brüssel
CRV,IT,Crotone
CSY,RU,Tscheboksary
CTA,IT,Catania
CUF,IT,Cuneo
CWC,UA,Czernowitz
CWL,GB,Cardiff
DBV,HR,Dubrovnik
DCM,FR,Castres
DEB,HU,Debrecen
DIJ,FR,Dijon
DLE,FR,Dole
DME,RU,Moskau
DND,GB,Dundee
DNK,UA,Dnipro
DNR,FR,Dinard/St-Malo
DOL,FR,Deauville
DRS,DE,Dresden
DTM,DE,Dortmund
DUB,IE,Dublin
DUS,DE,Düsseldorf
EAS,ES,San Sebastian
EBA,IT,Insel Elba
EBJ,DK,Esbjerg
EBU,FR,St-Etienne
EDI,GB,Edinburgh
EFL,GR,Kefallinia
EGC,FR,Bergerac
EGO,RU,Belgorod
EGS,IS,Egilsstadir
EIK,RU,Yeysk
EIN,NL,Eindhoven
EMA,GB,Nottingham
ENF,FI,Enontekio
EOI,GB,Eday
EPU,EE,Parnu
ERF,DE,Erfurt
ESL,RU,Elista
ETZ,FR,Metz/Nancy
EVE,NO,Harstad/Narvik
EVG,SE,Sveg
EXT,GB,Exeter
EYK,RU,Beloyarsky
FAE,FK,Färöer Inseln
FAO,PT,Faro
FCO,IT,Rom
FDH,DE,Friedrichshafen
FKB,DE,Karlsruhe/Baden-Baden
FLR,IT,Florenz
FLW,PT,Insel Flores
FMM,DE,Memmingen
FMO,DE,Münster/Osnabrück
FNC,PT,Funchal
FNI,FR,Nimes
FOG,IT,Foggia
FRA,DE,Frankfurt
FRL,IT,Forlì
FRO,NO,Floro
FSC,FR,Figari
GCI,GB,Guernsey
GDN,PL,Danzig
GDZ,RU,Gelendzhik
GEV,SE,Gallivare
GIB,GI,Gibraltar
GLA,GB,Glasgow
GME,BY,Gomel
GNA,BY,Grodno
GNB,FR,Lyon
GOA,IT,Goa
GOJ,RU,Nishnij Nowgorod
GOT,SE,Göteborg
GPA,GR,Patrai
GRO,ES,Girona
GRQ,NL,Groningen
GRV,RU,Grosny
GRW,PT,Insel Graciosa
GRX,ES,Granada
GRZ,AT,Graz
GUW,KZ,Atyrau
GVA,CH,Genf
GWT,DE,Westerland
GWY,IE,Galway
HAD,SE,Halmstad
HAJ,DE,Hannover
HAM,DE,Hamburg
HAU,NO,Haugesund
HDF,DE,Heringsdorf
HEL,FI,Helsinki
HER,GR,Irakleion
HFN,IS,Hornafjordur
HFS,SE,Hagfors
HFT,NO,Hammerfest
HHN,DE,Frankfurt
HMV,SE,Hemavan/Tarnaby
HOR,PT,Horta
HOV,NO,Orsta/Volda
HRK,UA,Charkiw
HTA,RU,Tschita
HUY,GB,Humberside
HVG,NO,Honningsvag
HZK,IS,Husavik
IAS,RO,Iasi
IBZ,ES,Ibiza
IDY,FR,Ile d'Yeu
IEG,PL,Zielona Gora
IEV,UA,Kiew
IFJ,IS,Isafjordur
IFO,UA,Iwano-Frankiwsk
IJK,RU,Izhevsk
IKT,RU,Irkutsk
ILD,ES,Lleida
ILY,GB,Islay
INI,RS,Nis
INN,AT,Innsbruck
INV,GB,Inverness
IOA,GR,Ioannina
IOM,GB,Isle of Man
ISL,TR,Istanbul
IST,TR,Istanbul Flughafen,
IVL,FI,Ivalo
IWA,RU,Iwanowo
JER,JE,Jersey
JKG,SE,Jonkoping
JKH,GR,Chios
JMK,GR,Mykonos
JOE,FI,Joensuu
JOK,RU,Yoshkar-Ola
JSH,GR,Siteia
JSI,GR,Skiathos
JTR,GR,Thira
JYV,FI,Jyvaskyla
KAJ,FI,Kajaani
KAO,FI,Kuusamo
KBP,UA,Kiew
KDL,EE,Kardla
KEF,IS,Reykjavik
KEM,FI,Kemi/Tornio
KGD,RU,Kaliningrad
KGS,GR,Kos
KHE,UA,Kherson
KID,SE,Kristianstad
KIR,IE,Kerry
KIV,MD,Singera
KJA,RU,Krasnojarsk
KKN,NO,Kirkenes
KLR,SE,Kalmar
KLU,AT,Klagenfurt
KLV,CZ,Karlovy Vary
KLX,GR,Kalamata
KMW,RU,Kostroma
KOI,GB,Kirkwall
KOK,FI,Kokkola/Pietarsaari
KRF,SE,Kramfors/Solleftea
KRK,PL,Krakau
KRN,SE,Kiruna
KRP,DK,Karup
KRR,RU,Krasnodar
KRS,NO,Kristiansand
KSC,SK,Kosice
KSD,SE,Karlstad
KSF,DE,Kassel
KSU,NO,Kristiansund
KSZ,RU,Kotlas
KTT,FI,Kittila
KTW,PL,Kattowitz
KUF,RU,Samara
KUN,LT,Kaunas
KUO,FI,Kuopio
KVA,GR,Kavala
KVO,RS,Kraljevo
KVX,RU,Kirov
KWG,UA,Krivyi Rih
KZI,GR,Kozani
KZN,RU,Kasan
LBA,GB,Leeds/Bradford
LBC,DE,Lübeck
LCG,ES,A Coruna
LCJ,PL,Lodz
LCY,GB,London
LDE,FR,Lourdes/Tarbes
LDY,GB,Derry
LED,RU,St. Petersburg
LEH,FR,Le Havre
LEI,ES,Almeria
LEJ,DE,Leipzig/Halle
LEN,ES,Leon
LEY,NL,Lelystad
LGG,BE,Lüttich
LGW,GB,London
LHR,GB,London
LIG,FR,Limoges
LIL,FR,Lille
LIN,IT,Mailand
LIS,PT,Lissabon
LJU,SK,Ljubljana
LKL,NO,Lakselv
LKN,NO,Leknes
LLA,SE,Lulea
LMP,IT,Lampedusa
LNZ,AT,Linz
LPI,SE,Linkoping
LPK,RU,Lipetsk
LPL,GB,Liverpool
LPP,FI,Lappeenranta
LPX,LV,Liepaja
LPY,FR,Le Puy
LRH,FR,La Rochelle
LRT,FR,Lorient
LSI,GB,Shetlandinseln
LTN,GB,London
LUG,CH,Lugano
LUX,LU,Luxemburg
LUZ,PL,Lublin
LWO,UA,Lviv
LYC,SE,Lycksele
LYR,SJ,Longyearbyen
LYS,FR,Lyon
MAD,ES,Madrid
MAH,ES,Menorca
MAN,GB,Man
MCX,RU,Machatschkala
MEH,NO,Mehamn
MHG,DE,Mannheim
MHQ,FI,Mariehamn
MJF,NO,Mosjoen
MJT,GR,Mytilini
MLA,MT,Malta
MME,GB,Teesside
MMK,RU,Murmansk
MMX,SE,Malmö
MOL,NO,Molde
MPL,FR,Montpellier
MPW,UA,Mariupol
MQF,RU,Magnitogorsk
MQJ,RU,Khonu
MQN,NO,Mo i Rana
MRS,FR,Marseille
MRV,RU,Mineralnye Vody
MSQ,BY,Minsk
MST,NL,Maastricht
MUC,DE,München
MVQ,BY,Mogilev
MXP,IT,Mailand
MXX,SE,Mora
NAL,RU,Naltschik
NAP,IT,Neapel
NBC,RU,Nizhnekamsk
NCE,FR,Nizza
NCL,GB,Newcastle
NCY,FR,Annecy
NLV,UA,Mykolaiv
NOC,IE,Knock
NOZ,RU,Nowokuznetsk
NQY,GB,Newquay
NRK,SE,Norrkoping
NRN,DE,Düsseldorf
NTB,NO,Notodden
NTE,FR,Nantes
NUE,DE,Nürnberg
NWI,GB,Norwich
NYA,RU,Nyagan
NYO,SE,Stockholm
ODE,DK,Odense
ODS,UA,Odesa
OER,SE,Ornskoldsvik
OGZ,RU,Wladikawkas
OHD,MK,Ohrid
OLA,NO,Orland
OLB,IT,Olbia
OLZ,RU,Olekminsk
OMO,BA,Mostar
OMR,RO,Oradea
OPO,PT,Porto
ORB,SE,Orebro
ORK,IE,Cork
ORY,FR,Paris
OSD,SE,Are/Ostersund
OSI,HR,Osijek
OSL,NO,Oslo
OSR,CZ,Ostrava
OST,BE,Oostende/Brügge
OTP,RO,Bukarest
OUL,FI,Oulu
OVB,RU,Nowosibirsk
OVD,ES,Asturien
OZH,UA,Zaporizhzhia
PAD,DE,Paderborn/Lippstadt
PDL,PT,Ponta Delgada
PDV,BG,Plovdiv
PED,CZ,Pardubice
PEE,RU,Perm
PEG,IT,Perugia
PES,RU,Petrozavodsk
PEZ,RU,Penza
PGF,FR,Perpignan
PIK,GB,Glasgow
PIS,FR,Poitiers
PIX,PT,Pico Insel
PKV,RU,Pskow
PLQ,LT,Klaipeda/Palanga
PMF,IT,Mailand
PMI,ES,Palma de Mallorca
PMO,IT,Palermo
PNA,ES,Pamplona
PNL,IT,Pantelleria
POR,FI,Pori
POZ,PL,Poznan
PRG,CZ,Prag
PRM,PT,Portimao
PRN,XK,Pristina
PSA,IT,Pisa
PSR,IT,Pescara
PUF,FR,Pau
PUY,HR,Pula
PVK,GR,Preveza/Lefkada
PXO,PT,Porto Santo
RDO,PL,Warschau
RDZ,FR,Rodez
REG,IT,Reggio di Calabria
REN,RU,Orenburg
REU,ES,Reus
RGS,ES,Burgos
RHO,GR,Rhodos
RIX,LV,Riga
RJK,HR,Rijeka
RKV,IS,Reykjavik
RLG,DE,Rostock
RMI,IT,Rimini
RMU,ES,Murcia
RNB,SE,Ronneby/Karlskrona
RNN,DK,Bornholm
RNS,FR,Rennes
ROV,RU,Rostow
RRS,NO,Roros
RTM,NL,Rotterdam
RVK,NO,Rorvik
RVN,FI,Rovaniemi
RWN,UA,Rivne
RYB,RU,Rybinsk
RZE,PL,Rzeszow
SBZ,RO,Sibiu
SCN,DE,Saarbrücken
SCQ,ES,Santiago de Compostela
SCR,SE,Salen
SCV,RO,Suceava
SCW,RU,Syktyvkar
SDL,SE,Sundsvall/Harnosand
SDR,ES,Santander
SEK,RU,Srednekolymsk
SEN,GB,London
SFT,SE,Skelleftea
SGD,DK,Sonderborg
SIP,UA,Simferopol Intl,
SJJ,BA,Sarajewo
SJY,FI,Seinajoki
SJZ,PT,Insel Sao Jorge
SKG,GR,Thessaloniki
SKN,NO,Stokmarknes
SKP,MK,Skopje
SKX,RU,Saransk
SLD,SK,Sliac
SLM,ES,Salamanca
SMA,PT,Insel Santa Maria
SMI,GR,Samos
SNN,IE,Shannon
SOB,HU,Heviz
SOF,BG,Sofia
SOJ,NO,Sorkjosen
SOU,GB,Southampton
SPU,HR,Split
SQO,SE,Storuman
SRP,NO,Sorstokken,
SSJ,NO,Sandnessjoen
STN,GB,London
STR,DE,Stuttgart
STW,RU,Stavropol
SUF,IT,Lamezia Terme
SUJ,RO,Satu Mare
SVG,NO,Stavanger
SVJ,NO,Svolvaer
SVL,FI,Savonlinna
SVO,RU,Moskau
SVQ,ES,Sevilla
SXB,FR,Straßburg
SYS,RU,Saskylakh
SYY,GB,Stornoway
SZG,AT,Salzburg
SZY,PL,Szczytno
SZZ,PL,Szczecin
TAT,SK,Poprad
TAY,EE,Tartu
TEQ,TR,Tekirdag
TER,PT,Insel Terceira
TGD,ME,Podgorica
TGK,RU,Taganrog
TGM,RO,Targu-Mures
THN,SE,Trollhattan/Vanersborg
TIA,IR,Tirana
TIV,ME,Tivat
TKU,FI,Turku
TLL,EE,Tallinn
TLN,FR,Toulon/Hyeres
TLS,FR,Toulouse
TMP,FI,Tampere
TOS,NO,Tromsö
TPS,IT,Trapani
TRD,NO,Trondheim
TRE,GB,Tiree
TRF,NO,Oslo
TRN,IT,Turin
TRS,IT,Triest
TSF,IT,Venedig
TSR,RO,Timisoara
TUF,FR,Tours
TYF,SE,Torsby
TZL,BA,Tuzla
UDJ,UA,Uzhhorod
UFA,RU,Ufa
UIP,FR,Quimper
ULV,RU,Uljanowsk
ULY,RU,Uljanowsk
UME,SE,Umea
URE,EE,Kuressaare
URO,FR,Rouen
URS,RU,Kursk
USR,RU,Ust-Nera
UUD,RU,Ulan-Ude
UUS,RU,Juschno-Sachalinsk
VAA,FI,Vaasa
VAR,BG,Varna
VAW,NO,Vardo
VBS,IT,Verona
VBY,SE,Visby
VCE,IT,Venedig
VDS,NO,Vadso
VGO,ES,Vigo
VHM,SE,Vilhelmina
VIE,AT,Wien
VIT,ES,Vitoria
VKO,RU,Moskau
VLC,ES,Valencia
VLL,ES,Valladolid
VLY,GB,Anglesey
VNO,LT,Vilnius
VNT,LV,Ventspils
VOG,RU,Wolgograd
VOL,GR,Volos
VOZ,RU,Woronesch
VRK,FI,Varkaus
VRL,PT,Vila Real
VRN,IT,Verona
VSE,PT,Viseu
VST,SE,Stockholm
VVO,RU,Wladiwostok
VXO,SE,Vaxjo
WAT,IE,Waterford
WAW,PL,Warschau
WIC,GB,Wick
WMI,PL,Nowy Dwor Mazowiecki
WRO,PL,Breslau
XCR,FR,Paris
XRY,ES,Jerez
ZAD,HR,Zadar
ZAG,HR,Zagreb
ZAZ,ES,Zaragoza
ZIA,RU,Zhukovsky
ZRH,CH,Zürich
ZTH,GR,Insel Zakynthos
AAC,EG,El Arish
AAN,AE,Al Ain
AAP,ID,Samarinda
AAT,CN,Altay
AAY,YE,Al Ghaydah
ABD,IR,Abadan
ABT,SA,Al Baha
ACX,CN,Xingyi
ADA,TR,Ada
ADB,TR,Izmir
ADE,YE,Aden
ADF,TR,Adiyaman
ADJ,JO,Amman
ADU,IR,Ardabil
AEB,CN,Baise
AEG,ID,Padangsidempuan
AEU,IR,Abu Musa Insel
AFZ,IR,Sabzevar
AGR,IN,Agra
AGX,IN,Insel Agatti
AHB,SA,Abha
AJF,SA,Jouf
AJI,TR,Agri
AJL,IN,Aizawl
AKJ,JP,Asahikawa
AKU,CN,Aksu
AKX,KZ,Aktobe
AKY,MM,Sittwe
ALA,KZ,Almaty
ALP,SY,Aleppo
AMD,IN,Ahmedabad
AMM,JO,Amman
AMQ,ID,Ambon
AMV,RU,Amderma
AOE,TR,Eskisehir
AOG,CN,Anshan
AOJ,JP,Aomori
AOR,MY,Alor Setar
AQG,CN,Anqing
AQI,SA,Qaisumah
AQJ,JO,Aqaba
ASB,TM,Ashgabat
ASF,RU,Astrakhan
ASJ,JP,Amami
ASR,TR,Kayseri
ATQ,IN,Amritsar
AUH,AE,Abu Dhabi
AVA,CN,Anshun
AVK,MN,Arvaikheer
AWZ,IR,Ahwaz
AXF,CN,Alxa Linkes Banner
AXT,JP,Akita
AYT,TR,Antalya
AZD,IR,Yazd
AZN,UZ,Andizhan
BAG,PH,Baguio
BAH,BH,Bahrain
BAL,TR,Batman
BAR,US,Qionghai
BAV,CN,Baotou
BAX,RU,Barnaul
BBI,IN,Bhubaneshwar
BBM,KH,Battambang
BBN,MY,Bario
BCD,PH,Bacolod
BDH,IR,Bandar Lengeh
BDJ,ID,Banjarmasin
BDO,ID,Bandung
BDQ,IN,Vadodara
BEJ,ID,Tanjung Redeb
BEY,LB,Beirut
BFJ,CN,Bijie
BFV,TH,Buriram
BGW,IQ,Bagdad
BHH,SA,Bisha
BHJ,IN,Bhuj
BHK,UZ,Bukhara
BHO,IN,Bhopal
BHU,IN,Bhavnagar
BHV,PK,Bahawalpur
BIK,ID,Biak
BIR,NP,Biratnagar
BJB,IR,Bojnurd
BJV,TR,Bodrum
BKI,MY,Kota Kinabalu
BKK,TH,Bangkok
BKS,ID,Bengkulu
BLR,IN,Bengaluru
BMV,VN,Buon Ma Thuot
BND,IR,Bandar Abbas
BOM,IN,Mumbai
BPE,CN,Qinhuangdao
BPL,CN,Bole
BPN,ID,Balikpapan
BPX,CN,Qamdo/Changdu
BQA,PH,Ballenpresse
BQS,RU,Blagoweschtschensk
BSD,CN,Baoshan
BSO,PH,Basco
BSR,IQ,Basrah
BTC,LK,Batticaloa
BTH,ID,Batam
BTJ,ID,Banda Aceh
BTK,RU,Bratsk
BTU,MY,Bintulu
BUS,GE,Batumi
BUZ,IR,Bushehr
BVJ,RU,Bovanenkovo
BWA,NP,Bhairahawa
BWN,BN,Bandar Seri Begawan
BWO,RU,Balakowo
BXR,IR,Bam
BXU,PH,Butuan
BYN,MN,Bayankhongor
BZI,TR,Balikesir
BZL,BD,Barisal
CAH,VN,Ca Mau
CAN,CN,Guangzhou
CBO,PH,Cotabato
CCJ,IN,Kozhikode
CCK,CC,Cocosinseln
CCU,IN,Kolkata
CDE,CN,Chengde
CDP,IN,Cuddapah
CEB,PH,Cebu
CEI,TH,Chiang Rai
CGD,CN,Changde
CGK,ID,Jakarta
CGM,PH,Insel Camiguin
CGO,CN,Zhengzhou
CGP,BD,Chittagong
CGQ,CN,Changchun
CGY,PH,Cagayan de Oro
CHG,CN,Chaoyang (Liaoning)
CIF,CN,Chifeng
CIT,KZ,Shymkent
CJB,IN,Coimbatore
CJJ,KR,Cheongju
CJL,PK,Chitral
CJM,TH,Chumphon
CJU,KR,Jeju
CKG,CN,Chongqing
CKH,RU,Chokurdakh
CKZ,TR,Canakkale
CMB,LK,Bandaranaike Intl,
CNI,CN,Changhai
CNN,IN,Kannur
CNX,TH,Chiang Mai
COK,IN,Kochi
CQW,CN,Wulong
CRK,PH,Angeles/Mabalacat
CRM,PH,Catarman
CRZ,TM,Turkmenabat
CSX,CN,Changsha
CTS,JP,Sapporo
CTU,CN,Chengdu
CWJ,CN,Cangyuan
CXB,BD,Cox's Bazar
CXP,ID,Cilacap
CXR,VN,Nha Trang
CYI,TW,Chiayi
CYP,PH,Calbayog
CYX,RU,Chersky
CYZ,PH,Cauayan
CZX,CN,Changzhou
DAC,BD,Dhaka
DAD,VN,Da Nang
DAM,SY,Damaskus
DBC,CN,Baicheng
DBR,IN,Darbhanga
DCY,CN,Daocheng
DDG,CN,Dandong
DEA,PK,Dera Ghazi Khan
DED,IN,Dehra Dun
DEF,IR,Dezful
DEL,IN,Delhi
DGT,PH,Dumaguete
DHM,IN,Dharamsala
DIB,IN,Dibrugarh
DIG,CN,Deqen
DIL,TL,Dili
DIN,VN,Dien Bien Phu
DIY,TR,Diyarbakir
DJJ,ID,Jayapura
DLC,CN,Dalian
DLI,VN,Da Lat
DLM,TR,Dalaman
DLU,CN,Dali
DLZ,MN,Dalanzadgad
DMB,KZ,Taraz
DMK,TH,Bangkok
DMM,SA,Dammam
DMU,IN,Dimapur
DNH,CN,Dunhuang
DNZ,TR,Denizli
DOH,QA,Doha
DPL,PH,Dipolog
DPS,ID,Denpasar-Bali
DQM,OM,Duqm
